Artist ID,Name,Nationality,Gender,Birth Year,Death Year
518,Ion Bitzan,Romanian,Male,1924,1997
519,Judith Black,American,Female,1945,
520,James Wallace Black,American,Male,1825,1896
521,Roman Black,Nationality unknown,Male,,
522,Wendell Black,American,Male,1919,1972
523,Elizabeth Blackadder,British,Female,1931,
524,Morris Blackburn,American,Male,1902,1979
525,Tom Blackwell,American,Male,1938,
526,Ronald Bladen,American,Male,1918,1988
527,Nell Blaine,American,Female,1922,1996
528,Jean-Charles Blais,French,Male,1956,
529,Jeffrey Blake,American,Male,1954,
530,Peter Blake,British,Male,1932,
531,Werner Blaser,Swiss,Male,1924,
532,Edwin Howland Blashfield,American,Male,1848,1936
533,Arbit Blatas,American,Male,1908,1999
534,Ross Bleckner,American,Male,1949,
535,René Bleibtreu,French,Male,1920,
536,Blessum,Nationality unknown,,,
537,André Bloc,Nationality unknown,Male,1896,1966
538,Albert Bloch,American,Male,1882,1961
539,Julius Thiengen Bloch,American,Male,1888,1966
540,Pierrette Bloch,French,Female,1928,
541,Clarence Lincoln Block,Nationality unknown,Male,,
542,Gay Block,American,Female,1942,
543,Barbara Bloom,American,Female,1951,
544,Hyman Bloom,American,Male,1913,2009
545,Vern Blosum,American,Male,1936,
546,Sandra Blow,British,Female,1925,2006
547,Oscar Bluemner,American,Male,1867,1938
548,Norman Bluhm,American,Male,1920,1999
549,Donald Blumberg,American,Male,1935,
550,Anna Blume,German,Female,1937,
551,Bernhard Blume,German,Male,1937,2011
552,Peter Blume,American,Male,1906,1992
553,Erwin Blumenfeld,German,Male,1897,1969
554,Instituto Lina Bo e Pietro Maria Bardi,Brazilian,Female,1914,1992
555,Marcello Boccacci,Italian,Male,1914,1996
556,Umberto Boccioni,Italian,Male,1882,1916
557,Mel Bochner,American,Male,1940,
558,Bengt Böckman,Swedish,Male,1936,
559,Peter Bodner,Nationality unknown,Male,,
560,Alighiero Boetti,Italian,Male,1940,1994
561,Marinus Boezem,Dutch,Male,1934,
562,Ricardo Bofill,Spanish,Male,1939,
563,Arthur Emil Bofinger,Swiss,Male,1909,
564,Jóhanna Boga,Icelandic,Female,,
565,Varujan Boghosian,American,Male,1926,
566,Theodor Bogler,German,Male,1897,1968
567,Alexander Bogomazov,Russian,Male,1880,1930
568,Blythe Bohnen,American,Female,1940,
569,Olaf von Bohr,Austrian,Male,1927,
570,Karl Bohrmann,German,Male,1928,1998
571,Bruce Boice,American,Male,1941,
572,Charles Boily,French,Male,,
573,Boissonas,Swiss,,,
574,Richard Boix,Spanish,Male,1894,1949
575,Jakob (Jack) Friedrich Bollschweiler,German,Male,1888,1938
576,Roger Bolomey,American,Male,1918,
577,Jay Bolotin,American,Male,1949,
578,Ilya Bolotowsky,American,Male,1907,1981
579,Christian Boltanski,French,Male,1944,
580,Michael Bolus,British,Male,1934,2013
581,David Bomberg,British,Male,1890,1957
582,Camille Bombois,French,Male,1883,1970
583,Giorgio Bompadre,Italian,Male,,
584,Bona,Italian,Female,1926,
585,Claus Bonderup,Danish,Male,1943,
586,Emile Bondonneau,French,Male,,
587,Muirhead Bone,British,Male,1876,1953
588,Antonio Bonet,Spanish,Male,1913,1989
589,Rodolfo Bonetto,Italian,Male,1929,1991
590,Marcelo Bonevardi,Argentine,Male,1929,1994
591,Felix Bonfils,French,Male,1831,1885
592,Dusti Bongé,American,Female,1903,1993
593,Paolo Boni,Italian,Male,1926,
594,Pierre Bonnard,French,Male,1867,1947
595,William Bonnell,American,Male,,
596,Maria Bonomi,Brazilian,Female,1935,
597,Robert Bononno,American,Male,,
598,Lee Bontecou,American,Female,1931,
599,Fabio Bonzi,Italian,Male,1943,
600,Peter Booth,Australian,Male,1940,
601,Osvaldo Borda,Argentine,Male,1929,
602,Enrico Bordoni,Italian,Male,1904,1969
603,Paul-Émile Borduas,Canadian,Male,1905,1960
604,Wendela Boreel,British,Female,,
605,Francisco Borès,Spanish,Male,1898,1972
606,Jonathan Borofsky,American,Male,1942,
607,Arnold von Borsig,German,Male,,
608,Elena Borstein,American,Female,1946,
609,Sándor (Alexander) Bortnyik,Hungarian,Male,1893,1976
610,Fritz Boscovits,Swiss,Male,1871,1965
611,Derek Boshier,British,Male,1937,
612,Richard Bosman,Australian,Male,1944,
613,Michael P. Bosniak,American,Male,,
614,Rodolphe-Théophile Bosshard,Swiss,Male,1889,1960
615,Check  Boterf,American,Male,1934,
616,Fernando Botero,Colombian,Male,1932,
617,Dorr Bothwell,American,Female,1902,2000
618,Mario Botta,Swiss,Male,1943,
619,Kenneth J. Botto,American,Male,1937,
620,Édouard Boubat,French,Male,1923,1999
621,René Robert Bouché,American,Male,1905,1963
622,Jean Boucher,French,Male,,
623,Alice Boughton,American,Female,1865,1943
624,Bouillon,French,,,
625,Firmin Bouisset,French,Male,1859,1925
